Primary Type,Beat
BURGLARY,1831
THEFT,1935
ROBBERY,1933
ASSAULT,614
THEFT,1935
THEFT,813
THEFT,813
MOTOR VEHICLE THEFT,131
ROBBERY,233
KIDNAPPING,1935
DECEPTIVE PRACTICE,2223
CRIMINAL DAMAGE,1712
OTHER OFFENSE,1833
ROBBERY,2512
MOTOR VEHICLE THEFT,2432
MOTOR VEHICLE THEFT,624
THEFT,313
BURGLARY,1134
INTERFERENCE WITH PUBLIC OFFICER,531
CRIMINAL TRESPASS,1213
CRIMINAL DAMAGE,321
BATTERY,532
WEAPONS VIOLATION,824
THEFT,1224
MOTOR VEHICLE THEFT,114
DECEPTIVE PRACTICE,1424
BATTERY,212
OTHER OFFENSE,533
CRIMINAL DAMAGE,532
NARCOTICS,2535
BATTERY,934
THEFT,1833
THEFT,1014
ROBBERY,613
NARCOTICS,1123
CRIMINAL DAMAGE,1712
CRIMINAL DAMAGE,122
CRIMINAL DAMAGE,1115
CRIMINAL DAMAGE,612
BATTERY,1821
BATTERY,832
OTHER OFFENSE,923
MOTOR VEHICLE THEFT,2222
BATTERY,1915
CRIMINAL DAMAGE,331
CRIMINAL DAMAGE,612
OTHER OFFENSE,1724
ASSAULT,232
BATTERY,811
BATTERY,111
THEFT,632
THEFT,1412
THEFT,1111
CRIMINAL DAMAGE,533
WEAPONS VIOLATION,823
CRIMINAL TRESPASS,1022
MOTOR VEHICLE THEFT,824
BATTERY,834
OTHER OFFENSE,333
MOTOR VEHICLE THEFT,614
ROBBERY,113
CRIMINAL DAMAGE,922
BATTERY,511
CRIMINAL DAMAGE,1011
THEFT,2221
BATTERY,1122
THEFT,423
ROBBERY,1215
CRIMINAL DAMAGE,1933
BATTERY,815
ASSAULT,431
MOTOR VEHICLE THEFT,433
BATTERY,2222
ASSAULT,2211
OTHER OFFENSE,2022
OTHER OFFENSE,613
BATTERY,421
CRIMINAL DAMAGE,1933
WEAPONS VIOLATION,725
CRIMINAL DAMAGE,814
THEFT,1112
BATTERY,823
CRIMINAL DAMAGE,1031
OTHER OFFENSE,632
HOMICIDE,1522
ROBBERY,113
HOMICIDE,712
DECEPTIVE PRACTICE,132
CRIMINAL SEXUAL ASSAULT,2422
BURGLARY,713
CRIMINAL TRESPASS,324
CRIMINAL DAMAGE,823
DECEPTIVE PRACTICE,624
DECEPTIVE PRACTICE,815
CRIMINAL DAMAGE,432
THEFT,1111
DECEPTIVE PRACTICE,2211
ROBBERY,621
OTHER OFFENSE,1412
DECEPTIVE PRACTICE,1821
MOTOR VEHICLE THEFT,731
SEX OFFENSE,822
DECEPTIVE PRACTICE,2515
OTHER OFFENSE,1832
DECEPTIVE PRACTICE,215
HOMICIDE,523
ROBBERY,231
OTHER OFFENSE,1922
ASSAULT,2213
ASSAULT,531
ASSAULT,434
CRIMINAL DAMAGE,523
CRIMINAL DAMAGE,912
BATTERY,2233
ASSAULT,322
ASSAULT,313
BURGLARY,1432
